Planning,product-plan-v2,https://gitlab.com/kohls/mma/merchandising/planning/product-plan/product-plan-v2
Planning,PA Legacy Feeder,https://gitlab.com/kohls/mma/merchandising/planning/pa-legacy-feeder
Planning,feature-toggle-fork,https://gitlab.com/kohls/mma/merchandising/planning/feature-toggle-fork
Planning,KP2 Application Config,https://gitlab.com/kohls/mma/merchandising/planning/program-planning/kp2-application-config
Planning,PDM Verified Sales Load,https://gitlab.com/kohls/mma/merchandising/planning/planning-data-mart/pdm-verified-sales-load
Planning,PDM Verified Markdown Load,https://gitlab.com/kohls/mma/merchandising/planning/planning-data-mart/pdm-verified-markdown-load
Planning,PDM On Order Service,https://gitlab.com/kohls/mma/merchandising/planning/planning-data-mart/pdm-on-order-service
Planning,PDM On Order Load,https://gitlab.com/kohls/mma/merchandising/planning/planning-data-mart/pdm-on-order-load
Planning,PDM Inventory Receipt Load,https://gitlab.com/kohls/mma/merchandising/planning/planning-data-mart/pdm-inventory-receipt-load
Planning,PDM Demand Sales Load,https://gitlab.com/kohls/mma/merchandising/planning/planning-data-mart/pdm-demand-sales-load
Planning,PDM Data Maintenance,https://gitlab.com/kohls/mma/merchandising/planning/planning-data-mart/pdm-data-maintenance
Planning,PDM Application Config,https://gitlab.com/kohls/mma/merchandising/planning/planning-data-mart/pdm-application-config
Planning,PDM Actuals Service,https://gitlab.com/kohls/mma/merchandising/planning/planning-data-mart/pdm-actuals-service
Planning,kcf-registry,https://gitlab.com/kohls/mma/merchandising/planning/calculation-framework/kcf-registry
Planning,kcf-routing-service,https://gitlab.com/kohls/mma/merchandising/planning/calculation-framework/kcf-routing-service
Planning,kcf-osm-service,https://gitlab.com/kohls/mma/merchandising/planning/calculation-framework/kcf-osm-service
Planning,kcf-calculation-framework,https://gitlab.com/kohls/mma/merchandising/planning/calculation-framework/kcf-calculation-framework
Planning,KAP Config Server,https://gitlab.com/kohls/mma/merchandising/planning/assortment-planning/kap-config-server
